subject_id,subject_label,predicate_id,predicate_label,object_id,object_label,add or change
Q28060457,Portrait of a Man in a High Beret,P793,significant event,Q107614552,claim for restitution of an artwork,added
Q136467974,Q136467974,P276,location,Q13419743,Bohunice A1 Nuclear Power Plant,added
Q69437210,Syme's amputation,P407,language of work or name,Q1860,English,added
Q53867760,Wrinkle corner. Extended charnley compression device,P407,language of work or name,Q1860,English,added
Q69283172,Fracture of the shaft of the femur: a tale of woe,P407,language of work or name,Q1860,English,added
Q54180514,Non-union of fracture of the femoral shaft: report of a case,P407,language of work or name,Q1860,English,added
Q54430070,Quadricepsplasty,P407,language of work or name,Q1860,English,added
Q54171597,Quadricepsplasty,P407,language of work or name,Q1860,English,added
Q69437196,Quadricepsplasty,P407,language of work or name,Q1860,English,added
Q69283165,Sir Reginald Watson-Jones,P407,language of work or name,Q1860,English,added
Q69437190,Accident services in Switzerland,P407,language of work or name,Q1860,English,added
Q39324375,Accident services today. Accident services in America,P407,language of work or name,Q1860,English,added
Q59823517,Investigation of dielectric spaced resonant mesh filter designs for PMIRR,P407,language of work or name,Q1860,English,added
Q57759366,Photoresponse of a miniaturized metal film bolometer to ultrashort mid- and far-infrared laser pulses,P407,language of work or name,Q1860,English,added
Q59823523,Calibration and performance of doped-Ge photoconductors for the ISO Long Wavelength Spectrometer,P407,language of work or name,Q1860,English,added
Q57759360,100 ps far-infrared laser pulses from optically pumped D2O,P407,language of work or name,Q1860,English,added
Q59823524,Long wavelength (sub-mm) telescope simulator,P407,language of work or name,Q1860,English,added
Q126737375,2025 Gree-Tour of Guangxi,P710,participant,Q17580397,Max Walscheid,added
Q59829025,The nature of the absorption bandshape density evolution for the first overtone of CO compressed by N2,P407,language of work or name,Q1860,English,added
Q57759373,Generation of tunable high power far-infrared radiation by stimulated Raman scattering in gaseous methylhalides,P407,language of work or name,Q1860,English,added
Q104630140,Terminal 3,P84,architect,Q124719,Christoph H. Mäckler,added
Q59823532,High efficiency half-wave plates for submillimetre polarimetry,P407,language of work or name,Q1860,English,added
Q136467974,Q136467974,P17,country,Q33946,Czechoslovakia,added
Q57925764,Far-infrared anisotropy in polar end-substituted alkanes,P407,language of work or name,Q1860,English,added
Q59829027,"Bound, metastable and free states of bimolecular complexes",P407,language of work or name,Q1860,English,added
Q62476180,Improved tunable InSb FIR detectors,P407,language of work or name,Q1860,English,added
Q59256994,Vibrational spectroscopy of as-prepared and ion-irradiated glycine films,P407,language of work or name,Q1860,English,added
Q59833736,Optimal sampling and sensitivity limits of integrating detector arrays in a space environment,P407,language of work or name,Q1860,English,added
Q59829030,On the influence of van der waals association on IR absorption band shapes of highly compressed carbon dioxide,P407,language of work or name,Q1860,English,added
